날짜,카테고리,금액
2023-05-25,미용,46000
2023-05-25,쇼핑,28700
2023-05-25,미용,52900
2023-05-26,운동,22400
2023-05-26,병원,171800
2023-05-26,미용,63200
2023-05-27,쇼핑,119200
2023-05-27,미용,69900
2023-05-27,마트,86700
2023-05-28,데이트,115700
2023-05-28,기부,38000
2023-05-29,쇼핑,144700
2023-05-29,데이트,69500
2023-05-29,데이트,104000
2023-05-29,외식,17000
2023-05-29,미용,38400
2023-05-30,미용,23000
2023-05-31,자동차,102500
2023-05-31,대중교통,2500
2023-05-31,선물,11600
2023-05-31,주거용품,46500
2023-05-31,마트,99000
2023-06-01,외식,48900
2023-06-02,자동차,128600
2023-06-02,외식,19500
2023-06-02,선물,45500
2023-06-02,미용,38300
2023-06-02,데이트,65900
2023-06-03,경조사,67200
2023-06-03,관리비,68200
2023-06-03,자동차,161300
2023-06-04,운동,95600
2023-06-04,미용,17900
2023-06-04,대중교통,2000
2023-06-04,쇼핑,67500
2023-06-05,보험료,255500
2023-06-05,경조사,13200
2023-06-05,주거용품,18200
2023-06-06,마트,45600
2023-06-06,경조사,43600
2023-06-07,외식,38200
2023-06-07,관리비,54400
2023-06-08,데이트,124000
2023-06-08,주거용품,6500
2023-06-08,기부,19500
2023-06-08,병원,163700
2023-06-09,쇼핑,67800
2023-06-09,쇼핑,68300
2023-06-09,선물,57400
2023-06-10,고정저축,309300
2023-06-10,자동차,180100
2023-06-10,운동,31100
2023-06-11,주거용품,9000
2023-06-11,선물,46700
2023-06-11,대중교통,2800
2023-06-11,미용,9400
2023-06-12,자동차,82000
2023-06-12,기부,5400
2023-06-12,미용,11400
2023-06-12,관리비,81800
2023-06-13,경조사,86100
2023-06-13,운동,51400
2023-06-13,병원,138700
2023-06-14,경조사,36100
2023-06-14,기부,15200
2023-06-14,마트,44600
2023-06-15,회비,18600
2023-06-15,쇼핑,52400
2023-06-15,운동,25500
2023-06-15,데이트,55200
2023-06-16,데이트,59100
2023-06-16,자동차,112200
2023-06-17,자동차,162500
2023-06-17,미용,18600
2023-06-17,기부,24700
2023-06-17,마트,65000
2023-06-17,기부,42300
2023-06-18,대중교통,1600
2023-06-19,쇼핑,37100
2023-06-19,데이트,47800
2023-06-20,멤버십,27900
2023-06-20,경조사,19500
2023-06-20,선물,90300
2023-06-20,선물,78200
2023-06-20,운동,44600
2023-06-21,마트,45600
2023-06-22,경조사,57400
2023-06-22,병원,196400
2023-06-22,주거용품,54400
2023-06-22,쇼핑,102700
2023-06-22,대중교통,1600
2023-06-23,주거용품,10400
2023-06-23,관리비,62300
2023-06-23,외식,43100
2023-06-24,주거용품,60500
2023-06-24,대중교통,2700
2023-06-24,자동차,66900
2023-06-24,대중교통,1800
2023-06-25,통신비,65100
2023-06-25,기부,18700
2023-06-25,주거용품,68000
2023-06-25,병원,64400
2023-06-25,마트,95300
2023-06-25,주거용품,19400
2023-06-26,기부,29700
2023-06-26,마트,59400
2023-06-26,관리비,79500
2023-06-27,데이트,114900
2023-06-28,외식,23800
2023-06-29,쇼핑,118100
2023-06-29,기부,19700
2023-06-29,외식,35600
2023-06-30,병원,98700
2023-06-30,자동차,115500
2023-06-30,미용,20100
